starttime	seconds	ctime	dtime	ttime	wait
Fri Dec 15 14:47:57 2017	1513345677	47	265	312	221
Fri Dec 15 14:44:54 2017	1513345494	46	266	312	222
Fri Dec 15 14:48:53 2017	1513345733	44	268	312	220
Fri Dec 15 14:48:21 2017	1513345701	48	263	312	221
Fri Dec 15 14:45:57 2017	1513345557	46	266	312	222
Fri Dec 15 14:48:04 2017	1513345684	48	264	312	222
Fri Dec 15 14:49:25 2017	1513345765	47	265	312	222
Fri Dec 15 14:45:02 2017	1513345502	50	262	312	219
Fri Dec 15 14:49:31 2017	1513345771	46	265	312	223
Fri Dec 15 14:48:42 2017	1513345722	45	267	312	221
Fri Dec 15 14:46:42 2017	1513345602	44	268	312	225
Fri Dec 15 14:46:14 2017	1513345574	47	265	312	222
Fri Dec 15 14:44:34 2017	1513345474	45	266	312	222
Fri Dec 15 14:47:41 2017	1513345661	47	265	312	221
Fri Dec 15 14:48:15 2017	1513345695	48	264	312	221
Fri Dec 15 14:48:18 2017	1513345698	46	266	312	222
Fri Dec 15 14:46:51 2017	1513345611	46	266	312	221
Fri Dec 15 14:45:09 2017	1513345509	46	266	312	223
Fri Dec 15 14:49:14 2017	1513345754	47	265	312	222
Fri Dec 15 14:47:05 2017	1513345625	46	266	312	222
Fri Dec 15 14:46:35 2017	1513345595	46	266	312	222
Fri Dec 15 14:48:34 2017	1513345714	46	266	312	222
Fri Dec 15 14:48:46 2017	1513345726	47	265	312	221
Fri Dec 15 14:49:37 2017	1513345777	46	266	312	223
Fri Dec 15 14:47:03 2017	1513345623	45	267	312	222
Fri Dec 15 14:44:58 2017	1513345498	47	265	312	222
Fri Dec 15 14:48:40 2017	1513345720	45	267	312	223
Fri Dec 15 14:49:17 2017	1513345757	46	267	312	223
Fri Dec 15 14:49:39 2017	1513345779	46	266	312	220
Fri Dec 15 14:47:17 2017	1513345637	46	266	312	223
Fri Dec 15 14:48:09 2017	1513345689	47	266	312	222
Fri Dec 15 14:45:25 2017	1513345525	48	265	312	221
Fri Dec 15 14:48:40 2017	1513345720	46	267	312	222
Fri Dec 15 14:48:36 2017	1513345716	47	266	312	221
Fri Dec 15 14:44:35 2017	1513345475	47	266	312	222
Fri Dec 15 14:47:12 2017	1513345632	47	265	312	221
Fri Dec 15 14:44:22 2017	1513345462	44	268	312	220
Fri Dec 15 14:45:42 2017	1513345542	46	266	312	222
Fri Dec 15 14:46:00 2017	1513345560	46	267	312	223
Fri Dec 15 14:44:53 2017	1513345493	46	266	312	221
Fri Dec 15 14:47:30 2017	1513345650	46	266	313	222
Fri Dec 15 14:49:17 2017	1513345757	45	267	313	224
Fri Dec 15 14:46:05 2017	1513345565	45	268	313	225
Fri Dec 15 14:47:07 2017	1513345627	46	266	313	222
Fri Dec 15 14:48:54 2017	1513345734	47	266	313	222
Fri Dec 15 14:47:38 2017	1513345658	46	267	313	222
Fri Dec 15 14:45:05 2017	1513345505	47	266	313	222
Fri Dec 15 14:44:41 2017	1513345481	46	267	313	224
Fri Dec 15 14:49:30 2017	1513345770	46	267	313	222
Fri Dec 15 14:45:54 2017	1513345554	45	267	313	221
Fri Dec 15 14:45:55 2017	1513345555	43	269	313	227
Fri Dec 15 14:46:47 2017	1513345607	46	267	313	222
Fri Dec 15 14:45:39 2017	1513345539	46	267	313	222
Fri Dec 15 14:44:51 2017	1513345491	47	266	313	221
Fri Dec 15 14:48:24 2017	1513345704	48	265	313	221
Fri Dec 15 14:48:02 2017	1513345682	49	264	313	221
Fri Dec 15 14:46:24 2017	1513345584	46	267	313	222
Fri Dec 15 14:49:26 2017	1513345766	46	267	313	223
Fri Dec 15 14:49:27 2017	1513345767	45	268	313	225
Fri Dec 15 14:44:48 2017	1513345488	45	267	313	223
Fri Dec 15 14:48:59 2017	1513345739	47	266	313	222
Fri Dec 15 14:47:39 2017	1513345659	47	266	313	222
Fri Dec 15 14:46:56 2017	1513345616	46	267	313	222
Fri Dec 15 14:48:26 2017	1513345706	46	267	313	222
Fri Dec 15 14:47:03 2017	1513345623	46	267	313	223
Fri Dec 15 14:48:17 2017	1513345697	47	266	313	223
Fri Dec 15 14:48:22 2017	1513345702	46	267	313	223
Fri Dec 15 14:46:47 2017	1513345607	47	266	313	222
Fri Dec 15 14:48:54 2017	1513345734	46	267	313	223
Fri Dec 15 14:46:23 2017	1513345583	46	267	313	223
Fri Dec 15 14:44:45 2017	1513345485	49	264	313	221
Fri Dec 15 14:46:34 2017	1513345594	45	269	313	221
Fri Dec 15 14:45:13 2017	1513345513	47	266	313	222
Fri Dec 15 14:46:18 2017	1513345578	47	266	313	222
Fri Dec 15 14:46:21 2017	1513345581	48	265	313	223
Fri Dec 15 14:44:33 2017	1513345473	44	269	313	221
Fri Dec 15 14:49:01 2017	1513345741	48	265	313	220
Fri Dec 15 14:47:42 2017	1513345662	46	267	313	222
Fri Dec 15 14:49:24 2017	1513345764	46	267	313	223
Fri Dec 15 14:46:56 2017	1513345616	46	267	313	222
Fri Dec 15 14:47:09 2017	1513345629	46	267	313	222
Fri Dec 15 14:46:03 2017	1513345563	46	267	313	222
Fri Dec 15 14:48:33 2017	1513345713	46	267	313	222
Fri Dec 15 14:46:12 2017	1513345572	47	267	313	222
Fri Dec 15 14:47:46 2017	1513345666	46	268	313	223
Fri Dec 15 14:46:02 2017	1513345562	45	268	313	220
Fri Dec 15 14:49:28 2017	1513345768	46	267	313	223
Fri Dec 15 14:48:34 2017	1513345714	46	267	313	223
Fri Dec 15 14:46:38 2017	1513345598	46	267	313	222
Fri Dec 15 14:44:37 2017	1513345477	46	267	313	223
Fri Dec 15 14:46:13 2017	1513345573	50	263	313	221
Fri Dec 15 14:49:16 2017	1513345756	47	266	313	223
Fri Dec 15 14:45:20 2017	1513345520	47	266	313	222
Fri Dec 15 14:46:43 2017	1513345603	46	267	313	223
Fri Dec 15 14:46:39 2017	1513345599	46	267	313	222
Fri Dec 15 14:49:32 2017	1513345772	44	269	313	226
Fri Dec 15 14:47:24 2017	1513345644	46	267	313	223
Fri Dec 15 14:46:23 2017	1513345583	47	267	313	223
Fri Dec 15 14:48:03 2017	1513345683	46	267	313	223
Fri Dec 15 14:44:37 2017	1513345477	46	267	313	223
Fri Dec 15 14:45:49 2017	1513345549	46	268	313	222
Fri Dec 15 14:47:45 2017	1513345665	46	268	313	222
Fri Dec 15 14:46:22 2017	1513345582	46	268	313	222
Fri Dec 15 14:44:47 2017	1513345487	47	267	313	222
Fri Dec 15 14:47:31 2017	1513345651	47	266	313	222
Fri Dec 15 14:45:18 2017	1513345518	47	267	313	223
Fri Dec 15 14:45:23 2017	1513345523	46	267	313	223
Fri Dec 15 14:47:31 2017	1513345651	47	267	313	222
Fri Dec 15 14:47:26 2017	1513345646	44	270	313	224
